,title,director ,writer,actors,gener,language,runtime,average,votes,link
14,龙腾四海,霍耀良,['韦家辉'],"['刘德华', '任达华', '邓光荣', '黎明', '陈法蓉', '陈惠敏', '程东', '关勇', '林保怡', '李丽珍', '吴家丽', '田丰']","['喜剧', '动作', '犯罪']", 粤语 / 英语 / 汉语普通话,1992-06-05,6.6,6439,https://movie.douban.com/subject/1304124/
15,黑色弥撒 Black Mass,斯科特·库珀,"['马克·马洛克', '杰斯·巴特沃斯', '迪克·莱尔', '杰拉德·奥尼尔']","['约翰尼·德普', '乔尔·埃哲顿', '本尼迪克特·康伯巴奇', '杰西·普莱蒙', '凯文·贝肯', '彼得·萨斯加德', '达科塔·约翰逊', '寇瑞·斯托尔', 'W·厄尔·布朗', '朱诺·坦普尔', '亚当·斯科特', '朱丽安妮·尼科尔森', '大卫·哈伯', '布拉德·卡特', '詹姆斯·拉索', '埃里卡·麦克德莫特', '杰瑞米·斯特朗', '布雷顿·曼雷']","['剧情', '传记', '犯罪']", 英语,2015-09-04(威尼斯电影节),6.5,14974,https://movie.douban.com/subject/3432861/
16,塔米·菲的眼睛 The Eyes of Tammy Faye,迈克尔·肖沃特,['爱比·希薇亚'],"['杰西卡·查斯坦', '安德鲁·加菲尔德', '切莉·琼斯', '文森特·多诺费奥', '马克·怀斯特拉克', '山姆·贾格', '路易斯·坎瑟米', '加布里埃尔·奥尔德斯', '弗瑞德里克·林恩', '钱德勒·海德', '杰伊·胡古雷', 'Grant Owens', '柯莉·坎帕尼', '杰丝·威克斯勒', '林赛·艾利夫', '兰德尔·P·海文斯', 'Joe Ando-Hirsh', 'Drew Broderick', '布伦特·莫雷尔·加斯金斯', 'Tanya Jacobson', 'Donald Norris Jr.', 'Dan Johnson', 'Michael MacCauley']","['剧情', '传记', '历史']", 英语,2021-09-12(多伦多电影节),6.6,4550,https://movie.douban.com/subject/33440550/
17,好奇害死猫,张一白,"['霍昕', '张一白']","['刘嘉玲', '胡军', '宋佳', '林源', '廖凡']","['剧情', '爱情', '悬疑', '惊悚']", 汉语普通话 / 英语,2006-10-12(中国大陆),6.4,32291,https://movie.douban.com/subject/1861411/
18,爸，我一定行的,蓝鸿春,"['郑润奇', '蓝鸿春']","['郑润奇', '郑鹏生', '张咏娴', '李树浩', '林俊鑫', '陈锦标', '周素琴', '郑辉松', '张翼就', '陈昱曦', '苏细珍']","['剧情', '喜剧', '家庭']", 潮汕方言 / 汉语普通话,2018-08-24(中国大陆),6.4,7185,https://movie.douban.com/subject/30276726/
19,恶战 惡戰,黄精甫,"['王爱玲', '王晶']","['伍允龙', '安志杰', '洪金宝', '胡然', '毛俊杰', '温超', '蒋璐霞', '陈观泰', '袁祥仁', '冯克安']","['剧情', '动作']", 汉语普通话 / 粤语 / 日语,2014-01-10(中国大陆),6.4,8718,https://movie.douban.com/subject/10604851/
0,四月是你的谎言 四月は君の嘘,新城毅彦,"['新川直司', '龙居由佳里']","['广濑铃', '山崎贤人', '石井杏奈', '中川大志', '甲本雅裕', '本田博太郎', '板谷由夏', '檀丽']","['剧情', '爱情', '音乐']", 日语,2016-09-10(日本),6.3,13204,https://movie.douban.com/subject/26599076/
1,重生 RE:BORN,下村勇二,['佐伯紅緒'],"['坂口拓', '近藤结良', '斋藤工', '长谷部瞳', '篠田麻里子', '加藤雅也', '大塚明夫', '石田壹成']",['动作'], 日语,2016-09-24(夕张国际电影节),6.3,7117,https://movie.douban.com/subject/26584797/
2,一本漫画闯天涯II妙想天开,朱继生,"['左颂升', '何东']","['张卫健', '吴孟达', '林建明', '黎瑞恩', '胡枫', '周星驰']",['喜剧'], 粤语,1993-03-20(中国香港),6.2,5809,https://movie.douban.com/subject/3148297/
3,正义联盟：亚特兰蒂斯的宝座 Justice League: Throne of Atlantis,伊桑·斯波尔丁,"['希思·科森', '乔夫·琼斯']","['克里斯托弗·戈勒姆', '马特·兰特尔', '杰瑞·奥康奈尔', '杰森·奥玛拉', '史蒂夫·布卢姆', '拉里·塞达尔', '巴里·丹尼', '保罗·伊丁', '杰·约翰逊']","['动作', '动画', '冒险']", 英语,2015-01-13(网络),6.2,7975,https://movie.douban.com/subject/25980500/
